node,seed,centrality,cascade_impact
Okgye,8192,0.038,0.018867924528301886
Taegum,8192,0.077,0.03773584905660377
Deokso,8192,0.058,0.09433962264150944
Gunsan,8192,0.038,0.05660377358490566
Gacheon,8192,0.038,0.018867924528301886
Incheon,8192,0.038,0.018867924528301886
Masan,8192,0.019,0.018867924528301886
Yakmok,8192,0.038,0.03773584905660377
Ipseokri,8192,0.115,0.03773584905660377
Naju,8192,0.019,0.03773584905660377
Jeokryang,8192,0.038,0.03773584905660377
Ganchi,8192,0.038,0.03773584905660377
Paldang,8192,0.019,0.018867924528301886
Doan,8192,0.019,0.018867924528301886
Mokpo,8192,0.019,0.018867924528301886
Eumseong,8192,0.019,0.018867924528301886
Munsu,8192,0.019,0.018867924528301886
BugangCargo,8192,0.038,0.018867924528301886
Seokhang,8192,0.019,0.018867924528301886
Shindong,8192,0.019,0.03773584905660377
Gaya,8192,0.019,0.05660377358490566
Jecheon,8192,0.019,0.018867924528301886
Gyeongju,8192,0.019,0.018867924528301886
Heukseokri,8192,0.019,0.018867924528301886
Seokpo,8192,0.019,0.018867924528301886
Sillyewon,8192,0.019,0.018867924528301886
Taehwagang,8192,0.019,0.018867924528301886
Iksan,8192,0.019,0.018867924528301886
Mureung,8192,0.019,0.03773584905660377
Susaek,8192,0.077,0.018867924528301886
Gwangwoondae,8192,0.058,0.018867924528301886
Cheonan,8192,0.038,0.018867924528301886
